Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
139.000000	0.055674	1.373000	95.407000	96.967000	1.452000	87.501000	91.086000	
140.000000	0.055158	1.374000	94.805000	96.580000	1.454000	86.989000	91.167000	
141.000000	0.054642	1.374000	95.277000	96.875000	1.474000	86.749000	89.627000	
142.000000	0.054125	1.369000	95.302000	96.855000	1.450000	87.922000	90.964000	
143.000000	0.053608	1.369000	95.288000	96.987000	1.465000	88.041000	91.005000	
144.000000	0.053091	1.370000	95.177000	96.794000	1.458000	87.530000	90.681000	
145.000000	0.052573	1.371000	95.136000	96.855000	1.450000	88.258000	90.600000	
146.000000	0.052055	1.364000	95.917000	97.292000	1.438000	88.238000	92.180000	
147.000000	0.051537	1.361000	95.708000	97.201000	1.450000	88.141000	91.329000	
148.000000	0.051018	1.365000	95.566000	97.018000	1.438000	88.354000	92.464000	
149.000000	0.050500	1.363000	95.594000	97.180000	1.445000	88.692000	91.977000	
150.000000	0.049982	1.360000	96.120000	97.333000	1.457000	87.322000	90.438000	
151.000000	0.049463	1.357000	96.011000	97.394000	1.488000	86.679000	89.870000	
152.000000	0.048945	1.361000	95.862000	97.099000	1.475000	87.176000	90.559000	
153.000000	0.048427	1.362000	95.504000	97.160000	1.449000	88.071000	91.370000	
154.000000	0.047909	1.359000	95.918000	97.180000	1.469000	88.213000	90.154000	
155.000000	0.047392	1.355000	96.134000	97.343000	1.458000	87.972000	91.005000	
156.000000	0.046875	1.354000	96.185000	97.435000	1.462000	88.846000	91.167000	
157.000000	0.046358	1.355000	96.189000	97.425000	1.466000	87.788000	90.276000	
158.000000	0.045842	1.353000	96.140000	97.537000	1.439000	88.259000	91.451000	
159.000000	0.045326	1.351000	96.304000	97.506000	1.461000	87.404000	90.600000	
160.000000	0.044811	1.354000	96.394000	97.537000	1.446000	89.337000	91.977000	
161.000000	0.044296	1.350000	96.649000	97.669000	1.477000	86.671000	90.235000	
162.000000	0.043782	1.353000	96.517000	97.557000	1.473000	88.012000	90.924000	
163.000000	0.043269	1.345000	96.852000	97.995000	1.439000	88.830000	92.018000	
164.000000	0.042756	1.348000	96.108000	97.476000	1.447000	88.483000	91.937000	
165.000000	0.042245	1.350000	96.209000	97.435000	1.454000	88.272000	90.640000	
166.000000	0.041734	1.346000	96.935000	97.862000	1.464000	87.983000	90.883000	
167.000000	0.041225	1.344000	96.542000	97.700000	1.452000	89.091000	91.491000	
168.000000	0.040716	1.342000	96.818000	97.873000	1.441000	88.880000	92.099000	
169.000000	0.040208	1.346000	96.699000	97.700000	1.465000	87.638000	90.762000	
170.000000	0.039702	1.347000	96.575000	97.771000	1.484000	87.405000	89.344000	
171.000000	0.039197	1.341000	96.757000	97.801000	1.440000	89.329000	91.613000	
172.000000	0.038693	1.341000	96.985000	97.995000	1.456000	88.060000	91.491000	
173.000000	0.038190	1.341000	97.049000	97.995000	1.438000	88.705000	91.653000	
174.000000	0.037688	1.333000	97.418000	98.320000	1.465000	89.074000	91.126000	
175.000000	0.037188	1.340000	96.921000	97.944000	1.458000	88.641000	91.126000	
176.000000	0.036690	1.333000	97.268000	98.188000	1.450000	89.208000	92.301000	
177.000000	0.036193	1.334000	97.360000	98.198000	1.454000	88.888000	91.491000	
178.000000	0.035697	1.334000	97.249000	98.178000	1.457000	87.513000	91.329000	
179.000000	0.035204	1.333000	97.443000	98.259000	1.451000	88.885000	91.491000	
180.000000	0.034712	1.327000	97.425000	98.249000	1.448000	88.434000	91.329000	
181.000000	0.034221	1.333000	97.280000	98.137000	1.444000	88.545000	92.261000	
182.000000	0.033732	1.332000	97.373000	98.280000	1.447000	88.396000	91.410000	
183.000000	0.033246	1.331000	97.143000	98.086000	1.447000	88.538000	91.167000	
184.000000	0.032761	1.329000	97.518000	98.351000	1.455000	87.891000	91.572000	
185.000000	0.032278	1.325000	97.613000	98.432000	1.450000	89.155000	91.410000	
186.000000	0.031797	1.325000	97.856000	98.514000	1.452000	88.659000	91.167000	
187.000000	0.031318	1.325000	97.852000	98.514000	1.452000	89.380000	91.207000	
188.000000	0.030841	1.323000	97.979000	98.605000	1.453000	89.284000	91.532000	
189.000000	0.030367	1.327000	97.671000	98.382000	1.460000	89.217000	90.924000	
190.000000	0.029894	1.322000	97.904000	98.575000	1.453000	88.176000	91.248000	
191.000000	0.029424	1.320000	98.064000	98.717000	1.447000	88.592000	91.572000	
192.000000	0.028956	1.319000	97.926000	98.626000	1.453000	88.292000	91.451000	
193.000000	0.028491	1.322000	97.767000	98.524000	1.443000	90.521000	92.099000	
194.000000	0.028027	1.317000	98.003000	98.636000	1.432000	88.105000	91.815000	
195.000000	0.027567	1.317000	97.854000	98.646000	1.449000	89.126000	91.815000	
196.000000	0.027109	1.315000	98.201000	98.829000	1.470000	88.317000	91.005000	
197.000000	0.026653	1.315000	98.319000	98.911000	1.445000	89.995000	91.856000	
198.000000	0.026200	1.311000	98.451000	98.952000	1.449000	88.863000	92.018000	
199.000000	0.025750	1.313000	98.394000	98.840000	1.461000	89.163000	91.532000	
200.000000	0.025302	1.312000	98.447000	98.880000	1.457000	89.613000	91.613000	
201.000000	0.024858	1.314000	98.105000	98.779000	1.456000	88.842000	91.329000	
202.000000	0.024416	1.311000	98.349000	98.941000	1.461000	88.392000	91.005000	
203.000000	0.023977	1.310000	98.434000	99.002000	1.456000	88.926000	91.410000	
204.000000	0.023540	1.309000	98.607000	98.992000	1.453000	88.971000	91.572000	
205.000000	0.023107	1.312000	97.995000	98.728000	1.460000	89.199000	91.126000	
206.000000	0.022677	1.308000	98.573000	99.064000	1.431000	89.383000	92.626000	
207.000000	0.022250	1.309000	98.498000	98.992000	1.435000	89.147000	92.504000	
208.000000	0.021826	1.307000	98.313000	98.962000	1.437000	89.858000	92.464000	
209.000000	0.021405	1.307000	98.492000	99.033000	1.458000	89.737000	91.248000	
210.000000	0.020987	1.303000	98.975000	99.287000	1.433000	90.016000	92.788000	
211.000000	0.020572	1.304000	98.748000	99.165000	1.442000	89.170000	92.139000	
212.000000	0.020161	1.303000	98.713000	99.196000	1.441000	89.713000	92.220000	
213.000000	0.019753	1.303000	98.918000	99.267000	1.444000	89.288000	91.977000	
214.000000	0.019349	1.301000	98.851000	99.247000	1.442000	90.008000	91.896000	
215.000000	0.018948	1.301000	99.040000	99.399000	1.438000	90.113000	92.464000	
216.000000	0.018550	1.302000	98.857000	99.267000	1.437000	89.567000	92.099000	
217.000000	0.018156	1.299000	99.075000	99.369000	1.446000	89.896000	91.977000	
218.000000	0.017765	1.300000	98.894000	99.247000	1.454000	89.117000	91.775000	
219.000000	0.017378	1.297000	99.136000	99.399000	1.449000	89.933000	91.937000	
220.000000	0.016995	1.299000	99.006000	99.318000	1.434000	89.558000	92.342000	
221.000000	0.016615	1.295000	99.124000	99.410000	1.445000	89.258000	92.382000	
222.000000	0.016239	1.297000	98.872000	99.237000	1.448000	89.512000	92.382000	
223.000000	0.015867	1.296000	99.026000	99.308000	1.443000	89.179000	91.896000	
224.000000	0.015498	1.294000	99.090000	99.420000	1.448000	89.287000	91.613000	
225.000000	0.015134	1.295000	99.156000	99.410000	1.441000	89.645000	92.464000	
226.000000	0.014773	1.292000	99.171000	99.430000	1.458000	88.862000	91.329000	
227.000000	0.014416	1.292000	99.148000	99.440000	1.444000	89.570000	92.058000	
228.000000	0.014063	1.294000	99.169000	99.430000	1.454000	88.983000	91.856000	
229.000000	0.013714	1.292000	99.136000	99.389000	1.445000	89.229000	91.977000	
230.000000	0.013370	1.290000	99.247000	99.471000	1.441000	89.845000	92.747000	
231.000000	0.013029	1.289000	99.417000	99.593000	1.448000	89.274000	91.937000	
232.000000	0.012692	1.289000	99.340000	99.552000	1.451000	89.741000	91.977000	
233.000000	0.012360	1.288000	99.526000	99.654000	1.456000	88.866000	91.653000	
234.000000	0.012031	1.290000	99.374000	99.572000	1.449000	88.645000	91.775000	
235.000000	0.011707	1.289000	99.322000	99.501000	1.446000	89.753000	92.261000	
236.000000	0.011387	1.286000	99.406000	99.613000	1.455000	89.129000	91.815000	
237.000000	0.011072	1.287000	99.543000	99.664000	1.435000	89.450000	92.464000	
238.000000	0.010761	1.286000	99.360000	99.583000	1.456000	88.696000	91.896000	
239.000000	0.010454	1.287000	99.523000	99.664000	1.442000	89.529000	92.261000	
240.000000	0.010151	1.286000	99.381000	99.572000	1.446000	89.441000	92.139000	
241.000000	0.009853	1.284000	99.626000	99.756000	1.444000	89.008000	91.896000	
242.000000	0.009560	1.285000	99.538000	99.705000	1.453000	89.946000	91.977000	
243.000000	0.009270	1.284000	99.537000	99.684000	1.453000	89.524000	92.058000	
244.000000	0.008986	1.285000	99.356000	99.593000	1.448000	89.587000	92.018000	
245.000000	0.008706	1.282000	99.574000	99.705000	1.450000	90.087000	92.464000	
246.000000	0.008430	1.284000	99.551000	99.695000	1.442000	89.549000	92.585000	
247.000000	0.008159	1.283000	99.508000	99.674000	1.444000	89.337000	92.382000	
248.000000	0.007893	1.282000	99.734000	99.796000	1.440000	89.637000	92.585000	
249.000000	0.007632	1.282000	99.652000	99.756000	1.448000	89.520000	91.937000	
250.000000	0.007375	1.281000	99.680000	99.776000	1.449000	89.595000	92.180000	
251.000000	0.007123	1.281000	99.692000	99.786000	1.455000	89.195000	91.815000	
252.000000	0.006875	1.281000	99.620000	99.776000	1.445000	89.091000	92.139000	
253.000000	0.006633	1.281000	99.676000	99.746000	1.449000	89.745000	92.504000	
254.000000	0.006395	1.280000	99.717000	99.837000	1.450000	88.908000	92.180000	
255.000000	0.006162	1.281000	99.659000	99.817000	1.455000	89.649000	92.342000	
256.000000	0.005934	1.279000	99.676000	99.786000	1.447000	89.824000	92.058000	
257.000000	0.005711	1.280000	99.809000	99.837000	1.443000	89.024000	92.180000	
258.000000	0.005493	1.279000	99.644000	99.746000	1.446000	89.483000	92.423000	
259.000000	0.005279	1.278000	99.756000	99.837000	1.449000	89.683000	92.261000	
260.000000	0.005071	1.279000	99.808000	99.868000	1.455000	89.633000	92.058000	
261.000000	0.004868	1.278000	99.754000	99.807000	1.448000	89.408000	92.018000	
262.000000	0.004669	1.278000	99.784000	99.827000	1.445000	89.791000	92.018000	
