Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
38.000000	0.009100	1.278000	89.073000	90.537000	1.430000	77.838000	80.847000	
39.000000	0.009055	1.269000	89.811000	91.099000	1.425000	78.043000	80.604000	
40.000000	0.009008	1.264000	90.296000	91.231000	1.386000	80.723000	82.304000	
41.000000	0.008961	1.255000	90.607000	91.591000	1.438000	76.902000	80.049000	
42.000000	0.008913	1.247000	91.050000	92.091000	1.425000	78.671000	79.806000	
43.000000	0.008864	1.241000	91.464000	92.319000	1.416000	79.473000	81.159000	
44.000000	0.008814	1.235000	92.036000	92.986000	1.408000	77.941000	80.812000	
45.000000	0.008763	1.224000	93.080000	93.636000	1.427000	79.142000	80.604000	
46.000000	0.008711	1.216000	93.429000	94.048000	1.392000	79.619000	82.339000	
47.000000	0.008658	1.214000	93.249000	93.899000	1.399000	78.880000	81.437000	
48.000000	0.008605	1.219000	92.947000	93.653000	1.396000	78.434000	81.437000	
49.000000	0.008550	1.210000	93.383000	94.005000	1.371000	81.240000	83.484000	
50.000000	0.008495	1.199000	94.013000	94.733000	1.408000	79.305000	81.957000	
51.000000	0.008439	1.204000	93.994000	94.382000	1.403000	78.975000	81.124000	
52.000000	0.008381	1.195000	94.416000	95.023000	1.383000	80.623000	82.790000	
53.000000	0.008323	1.193000	94.450000	94.979000	1.409000	78.704000	81.402000	
54.000000	0.008265	1.183000	95.016000	95.506000	1.403000	80.591000	82.443000	
55.000000	0.008205	1.182000	94.781000	95.479000	1.368000	80.838000	83.067000	
56.000000	0.008145	1.179000	95.508000	95.822000	1.395000	79.893000	82.026000	
57.000000	0.008084	1.173000	95.587000	95.997000	1.374000	79.572000	82.443000	
58.000000	0.008022	1.167000	95.909000	96.383000	1.404000	79.700000	81.992000	
59.000000	0.007960	1.162000	96.009000	96.427000	1.385000	80.144000	82.547000	
60.000000	0.007896	1.158000	96.517000	96.814000	1.388000	79.854000	81.888000	
61.000000	0.007832	1.160000	96.321000	96.664000	1.391000	80.291000	82.512000	
62.000000	0.007768	1.157000	96.423000	96.805000	1.409000	79.576000	81.922000	
63.000000	0.007702	1.153000	96.750000	96.980000	1.387000	80.460000	82.408000	
64.000000	0.007636	1.148000	97.060000	97.235000	1.387000	80.277000	82.894000	
65.000000	0.007570	1.143000	97.294000	97.568000	1.367000	81.221000	83.171000	
66.000000	0.007503	1.141000	97.348000	97.586000	1.373000	81.433000	82.998000	
67.000000	0.007435	1.139000	97.416000	97.683000	1.373000	80.688000	83.067000	
68.000000	0.007366	1.139000	97.292000	97.489000	1.359000	82.110000	84.039000	
69.000000	0.007297	1.132000	97.673000	97.928000	1.361000	81.644000	83.935000	
70.000000	0.007228	1.132000	97.642000	97.814000	1.354000	82.132000	84.178000	
71.000000	0.007158	1.131000	97.639000	97.955000	1.382000	79.807000	82.304000	
72.000000	0.007087	1.131000	97.814000	97.999000	1.381000	81.437000	83.345000	
73.000000	0.007016	1.132000	97.585000	97.779000	1.363000	81.243000	83.310000	
74.000000	0.006944	1.126000	97.901000	98.121000	1.378000	79.925000	82.963000	
75.000000	0.006872	1.127000	97.807000	97.884000	1.376000	80.451000	82.790000	
